bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
90.0,598.0,598.0,0.0,100.0,0.0,53802.0,52321.0,1481.0,89.74596476783478,100.0,10.254035232165222,35.328156650911545,592400.0,1046420.0,-454020.0
91.0,598.0,598.0,0.0,100.0,0.0,54400.0,52919.0,1481.0,90.77171135010892,100.0,9.228288649891084,35.731937879810935,592400.0,1058380.0,-465980.0
92.0,598.0,598.0,0.0,100.0,0.0,54998.0,53517.0,1481.0,91.79745793238305,100.0,8.202542067616946,36.13571910871033,592400.0,1070340.0,-477940.0
93.0,597.0,597.0,0.0,100.0,0.0,55595.0,54114.0,1481.0,92.82148921936911,100.0,7.178510780630887,36.5388251181634,592400.0,1082280.0,-489880.0
94.0,598.0,598.0,0.0,100.0,0.0,56193.0,54712.0,1481.0,93.84723580164325,100.0,6.152764198356749,36.94260634706279,592400.0,1094240.0,-501840.0
95.0,598.0,598.0,0.0,100.0,0.0,56791.0,55310.0,1481.0,94.87298238391739,100.0,5.127017616082611,37.34638757596219,592400.0,1106200.0,-513800.0
96.0,598.0,598.0,0.0,100.0,0.0,57389.0,55908.0,1481.0,95.89872896619153,100.0,4.101271033808473,37.75016880486158,592400.0,1118160.0,-525760.0
97.0,598.0,598.0,0.0,100.0,0.0,57987.0,56506.0,1481.0,96.92447554846567,100.0,3.075524451534335,38.15395003376097,592400.0,1130120.0,-537720.0
98.0,597.0,597.0,0.0,100.0,0.0,58584.0,57103.0,1481.0,97.94850683545172,100.0,2.051493164548276,38.55705604321405,592400.0,1142060.0,-549660.0
99.0,598.0,598.0,0.0,100.0,0.0,59182.0,57701.0,1481.0,98.97425341772586,100.0,1.025746582274138,38.96083727211344,592400.0,1154020.0,-561620.0
100.0,598.0,598.0,0.0,100.0,0.0,59780.0,58299.0,1481.0,100.0,100.0,0.0,39.36461850101283,592400.0,1165980.0,-573580.0
