,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
22,22.0,126.0,126.0,0.0,100.0,0.0,2780.0,2450.0,330.0,19.949515511766144,92.69662921348315,72.74711370171701,7.424242424242424,330.0,9831.0,26.0,2450.0,0.8040674210651262,0.19593257893487379,0.19949515511766142,7.424242424242424,0.9269662921348315,0.8005048448823385,0.11870503597122302,0.21045918367346936
23,23.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,2907.0,2576.0,331.0,20.9754905952284,92.97752808988764,72.00203749465925,7.782477341389728,331.0,9705.0,25.0,2576.0,0.7941758328717259,0.20582416712827412,0.20975490595228402,7.782477341389728,0.9297752808988764,0.790245094047716,0.11386308909528724,0.20288078455409134
24,24.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3033.0,2701.0,332.0,21.993323019298103,93.25842696629213,71.26510394699403,8.135542168674698,332.0,9580.0,24.0,2701.0,0.7843633773838727,0.21563662261612723,0.21993323019298103,8.135542168674698,0.9325842696629213,0.780066769807019,0.10946257830530827,0.19592800236057833
25,25.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,3159.0,2825.0,334.0,23.003012783975247,93.82022471910112,70.81721193512587,8.45808383233533,334.0,9456.0,22.0,2825.0,0.774709187307114,0.22529081269288598,0.23003012783975246,8.45808383233533,0.9382022471910112,0.7699698721602475,0.10572966128521684,0.1900426742532006
26,26.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,3286.0,2951.0,335.0,24.028987867437504,94.10112359550561,70.0721357280681,8.808955223880597,335.0,9330.0,21.0,2951.0,0.7648175991137137,0.2351824008862863,0.24028987867437504,8.808955223880597,0.9410112359550562,0.759710121325625,0.10194765672550213,0.18396485447556288
27,27.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3412.0,3076.0,336.0,25.046820291507206,94.38202247191012,69.33520218040292,9.154761904761905,336.0,9205.0,20.0,3076.0,0.7550051436258606,0.24499485637413942,0.25046820291507205,9.154761904761905,0.9438202247191011,0.7495317970849279,0.0984759671746776,0.17834394904458598
28,28.0,126.0,126.0,0.0,100.0,0.0,3538.0,3202.0,336.0,26.072795374969466,94.38202247191012,68.30922709694065,9.529761904761905,336.0,9079.0,20.0,3202.0,0.745034422726913,0.25496557727308694,0.26072795374969465,9.529761904761905,0.9438202247191011,0.7392720462503054,0.09496890898812889,0.17257318952234207
29,29.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,3665.0,3328.0,337.0,27.098770458431723,94.66292134831461,67.56415088988288,9.875370919881306,337.0,8953.0,19.0,3328.0,0.7351428345335127,0.2648571654664873,0.27098770458431726,9.875370919881306,0.9466292134831461,0.7290122954156828,0.09195088676671215,0.1676199950261129
30,30.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3791.0,3453.0,338.0,28.116602882501425,94.9438202247191,66.82721734221768,10.215976331360947,338.0,8828.0,18.0,3453.0,0.7253303790456596,0.27466962095434044,0.28116602882501424,10.215976331360947,0.949438202247191,0.7188339711749857,0.08915853336850435,0.16300940438871475
31,31.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3917.0,3578.0,339.0,29.134435306571127,95.2247191011236,66.09028379455248,10.55457227138643,339.0,8703.0,17.0,3578.0,0.7155179235578064,0.28448207644219353,0.29134435306571127,10.55457227138643,0.952247191011236,0.7086556469342887,0.08654582588715853,0.15867072314533115
32,32.0,127.0,127.0,0.0,100.0,0.0,4044.0,3705.0,339.0,30.16855304942594,95.2247191011236,65.05616605169766,10.929203539823009,339.0,8576.0,17.0,3705.0,0.7054680699533117,0.2945319300466883,0.30168553049425945,10.929203539823009,0.952247191011236,0.6983144695057406,0.08382789317507418,0.15409090909090908
33,33.0,126.0,126.0,0.0,100.0,0.0,4170.0,3831.0,339.0,31.194528132888202,95.2247191011236,64.03019096823539,11.300884955752212,339.0,8450.0,17.0,3831.0,0.6954973490543642,0.30450265094563583,0.311945281328882,11.300884955752212,0.952247191011236,0.688054718671118,0.08129496402877698,0.14980114891736632
34,34.0,127.0,127.0,0.0,100.0,0.0,4297.0,3958.0,339.0,32.22864587574302,95.2247191011236,62.99607322538058,11.67551622418879,339.0,8323.0,17.0,3958.0,0.6854474954498694,0.31455250455013056,0.32228645875743017,11.67551622418879,0.952247191011236,0.6777135412425698,0.07889225040726087,0.145712443584784
35,35.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4423.0,4083.0,340.0,33.24647829981272,95.50561797752809,62.25913967771537,12.008823529411766,340.0,8198.0,16.0,4083.0,0.6756350399620163,0.3243649600379837,0.3324647829981272,12.008823529411766,0.9550561797752809,0.6675352170018728,0.07687090210264526,0.14228918183720443
36,36.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4549.0,4208.0,341.0,34.26431072388242,95.78651685393258,61.522206130050165,12.340175953079179,341.0,8073.0,15.0,4208.0,0.6658225844741632,0.33417741552583685,0.3426431072388242,12.340175953079179,0.9578651685393258,0.6573568927611758,0.07496153000659486,0.13904179408766565
37,37.0,127.0,127.0,0.0,100.0,0.0,4676.0,4335.0,341.0,35.298428466737235,95.78651685393258,60.48808838719535,12.712609970674487,341.0,7946.0,15.0,4335.0,0.6557727308696685,0.3442272691303316,0.35298428466737236,12.712609970674487,0.9578651685393258,0.6470157153326276,0.07292557741659537,0.13553259141494436
38,38.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,4802.0,4459.0,343.0,36.30811823141438,96.34831460674157,60.040196375327184,13.0,343.0,7822.0,13.0,4459.0,0.6461185407929098,0.3538814592070903,0.3630811823141438,13.0,0.9634831460674157,0.6369188176858562,0.07142857142857142,0.13299728576967815
39,39.0,126.0,126.0,0.0,100.0,0.0,4928.0,4585.0,343.0,37.33409331487664,96.34831460674157,59.01422129186493,13.36734693877551,343.0,7696.0,13.0,4585.0,0.6361478198939622,0.3638521801060378,0.3733409331487664,13.36734693877551,0.9634831460674157,0.6266590668512336,0.06960227272727272,0.1298258894776684
40,40.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,5055.0,4711.0,344.0,38.360068398338896,96.62921348314607,58.26914508480718,13.694767441860465,344.0,7570.0,12.0,4711.0,0.6262562317005619,0.3737437682994382,0.383600683983389,13.694767441860465,0.9662921348314607,0.616399316016611,0.06805143422354105,0.12714840140454628
41,41.0,126.0,126.0,0.0,100.0,0.0,5181.0,4837.0,344.0,39.38604348180116,96.62921348314607,57.243170001344915,14.061046511627907,344.0,7444.0,12.0,4837.0,0.6162855108016143,0.3837144891983857,0.3938604348180116,14.061046511627907,0.9662921348314607,0.6061395651819884,0.06639644856205366,0.12425501173920896
42,42.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,5308.0,4963.0,345.0,40.412018565263416,96.91011235955057,56.49809379428715,14.385507246376811,345.0,7318.0,11.0,4963.0,0.606393922608214,0.39360607739178605,0.40412018565263413,14.385507246376811,0.9691011235955056,0.5958798143473658,0.06499623210248681,0.12182203389830507
43,43.0,126.0,126.0,0.0,100.0,0.0,5434.0,5089.0,345.0,41.43799364872567,96.91011235955057,55.472118710824894,14.75072463768116,345.0,7192.0,11.0,5089.0,0.5964232017092664,0.40357679829073356,0.41437993648725674,14.75072463768116,0.9691011235955056,0.5856200635127433,0.06348914243651085,0.11917098445595853
44,44.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,5560.0,5212.0,348.0,42.43954075401026,97.75280898876404,55.313268234753785,14.977011494252874,348.0,7069.0,8.0,5212.0,0.5869272770436021,0.41307272295639785,0.4243954075401026,14.977011494252874,0.9775280898876404,0.5756045924598974,0.06258992805755395,0.11764705882352941
45,45.0,127.0,127.0,0.0,100.0,0.0,5687.0,5339.0,348.0,43.47365849686508,97.75280898876404,54.27915049189897,15.341954022988507,348.0,6942.0,8.0,5339.0,0.5768774234391074,0.42312257656089264,0.43473658496865075,15.341954022988507,0.9775280898876404,0.5652634150313492,0.06119219272023914,0.11517458216117821
46,46.0,126.0,126.0,0.0,100.0,0.0,5813.0,5465.0,348.0,44.499633580327334,97.75280898876404,53.25317540843671,15.704022988505747,348.0,6816.0,8.0,5465.0,0.5669067025401598,0.43309329745984015,0.44499633580327336,15.704022988505747,0.9775280898876404,0.5550036641967266,0.05986581799415104,0.11282217539309448
47,47.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,5939.0,5590.0,349.0,45.517466004397036,98.03370786516854,52.5162418607715,16.017191977077363,349.0,6691.0,7.0,5590.0,0.5570942470523067,0.4429057529476933,0.45517466004397034,16.017191977077363,0.9803370786516854,0.5448253399560297,0.058764101700623,0.11088165210484512
48,48.0,127.0,127.0,0.0,100.0,0.0,6066.0,5717.0,349.0,46.551583747251854,98.03370786516854,51.48212411791668,16.3810888252149,349.0,6564.0,7.0,5717.0,0.547044393447812,0.45295560655218803,0.4655158374725185,16.3810888252149,0.9803370786516854,0.5344841625274814,0.057533794922518956,0.10868888196823419
49,49.0,126.0,126.0,0.0,100.0,0.0,6192.0,5843.0,349.0,47.57755883071411,98.03370786516854,50.45614903445443,16.74212034383954,349.0,6438.0,7.0,5843.0,0.5370736725488644,0.46292632745113554,0.4757755883071411,16.74212034383954,0.9803370786516854,0.5242244116928589,0.056363049095607236,0.10659743433109345
50,50.0,126.0,126.0,0.0,100.0,0.0,6318.0,5969.0,349.0,48.60353391417637,98.03370786516854,49.43017395099217,17.103151862464184,349.0,6312.0,7.0,5969.0,0.5271029516499169,0.4728970483500831,0.4860353391417637,17.103151862464184,0.9803370786516854,0.5139646608582363,0.055238999683444125,0.10458495654779741
51,51.0,127.0,127.0,0.0,100.0,0.0,6445.0,6096.0,349.0,49.637651657031185,98.03370786516854,48.39605620813735,17.46704871060172,349.0,6185.0,7.0,6096.0,0.5170530980454222,0.48294690195457785,0.49637651657031184,17.46704871060172,0.9803370786516854,0.5036234834296881,0.054150504266873546,0.10263196588736952
