,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
69,69.0,981.0,976.0,5.0,99.49031600407747,0.5096839959225292,67689.0,67560.0,86.0,0.006570406984051662,0.509683995922528,0.0051239754098360655,-7.6085207325174,-6.924632177995786,-6.695748993074283,532.5235820362616
70,70.0,980.0,976.0,4.0,99.59183673469387,0.4081632653061291,68600.0,68536.0,90.0,0.006795788035915182,0.40816326530612246,0.00409938524590164,-7.930376708879371,-6.924632177995786,-6.640225447243182,533.6340529528836
71,71.0,980.0,976.0,4.0,99.59183673469387,0.4081632653061291,69580.0,69512.0,94.0,0.00704030500048853,0.40816326530612246,0.00409938524590164,-7.930376708879371,-6.924632177995786,-6.582534920499851,534.7878634877502
72,72.0,981.0,976.0,5.0,99.49031600407747,0.5096839959225292,70632.0,70488.0,99.0,0.0072801543069928336,0.509683995922528,0.0051239754098360655,-7.6085207325174,-6.924632177995786,-6.52830971459952,535.8723676057568
73,73.0,980.0,973.0,7.0,99.28571428571429,0.7142857142857082,71540.0,71461.0,106.0,0.007534213837890283,0.7142857142857143,0.007195272353545735,-7.118734988151928,-6.924632177995786,-6.473216211577936,536.9742376661885
74,74.0,980.0,976.0,4.0,99.59183673469387,0.4081632653061291,72520.0,72437.0,110.0,0.007788263479650517,0.40816326530612246,0.00409938524590164,-7.930376708879371,-6.924632177995786,-6.42034453646684,538.0316711684104
75,75.0,981.0,974.0,7.0,99.28644240570846,0.7135575942915438,73575.0,73411.0,117.0,0.008067536224464987,0.7135575942915392,0.007187885010266941,-7.1202169554531585,-6.924632177995786,-6.364578979201609,539.1469823137151
76,76.0,980.0,975.0,5.0,99.48979591836735,0.5102040816326507,74480.0,74386.0,122.0,0.008360158801529806,0.5102040816326531,0.00512923076923077,-7.607041803591487,-6.924632177995786,-6.308580582188408,540.2669502539791
77,77.0,980.0,977.0,3.0,99.6938775510204,0.3061224489795933,75460.0,75363.0,125.0,0.008680923154159094,0.30612244897959184,0.00307164790174002,-8.346771433032185,-6.924632177995786,-6.249818339549199,541.4421951067633
78,78.0,981.0,977.0,4.0,99.59225280326197,0.40774719673802906,76518.0,76340.0,129.0,0.008995599124503515,0.4077471967380224,0.004095189355168885,-7.93185412328487,-6.924632177995786,-6.194614159439718,542.5462787089529
